Sub_id,Date,Texts,Self-paced RT
999,2022-04-08,1,2746.0
999,2022-04-08,2,532.0
999,2022-04-08,3,2243.0
999,2022-04-08,4,669.0
999,2022-04-08,5,249.0
999,2022-04-08,6,412.0
999,2022-04-08,7,137.0
999,2022-04-08,8,207.0
999,2022-04-08,9,357.0
999,2022-04-08,10,311.0
999,2022-04-08,11,325.0
999,2022-04-08,12,283.0
999,2022-04-08,13,302.0
999,2022-04-08,14,303.0
999,2022-04-08,15,352.0
999,2022-04-08,16,294.0
999,2022-04-08,17,373.0
999,2022-04-08,18,425.0
999,2022-04-08,19,342.0
999,2022-04-08,20,311.0
999,2022-04-08,21,277.0
999,2022-04-08,22,493.0
999,2022-04-08,23,668.0
999,2022-04-08,24,383.0
999,2022-04-08,25,334.0
999,2022-04-08,26,302.0
999,2022-04-08,27,294.0
999,2022-04-08,28,3298.0
999,2022-04-08,29,375.0
999,2022-04-08,30,527.0
